0,屋号,営業所所在地,営業所所在地ビル名,営業者氏名,営業者住所,営業の種類,申請区分,営業所電話番号,初回許可日,営業者電話番号,代表者氏名
2395,セブン＆アイ・フードシステムズ　社員食堂　拝島店,東京都昭島市松原町３丁目２番１２号,イトーヨーカドー拝島店３階,株式会社セブン＆アイ・フードシステムズ,東京都千代田区二番町８番地８,飲食店営業(集団給食),更新,042-544-9788,2003/9/26,03-6238-3528,小松　雅美
2396,はなまるうどんイトーヨーカドー拝島店,東京都昭島市松原町３丁目２番１２号,１階,株式会社はなまる,東京都中央区日本橋箱崎町36番2号,飲食店営業(そば屋),更新,042-549-2870,2003/10/22,03-5651-8701,門脇　純孝
2397,アイリスガーデン昭島,東京都昭島市松原町３丁目８番１号,,日清医療食品株式会社,東京都千代田区丸の内２丁目７番３号,飲食店営業(集団給食),更新,042-500-2858,2010/2/1,03-3287-3611,菅井　正一
2398,丸福,東京都昭島市松原町４丁目１１番１３号,丸木ビル１F,株式会社ユーアイプランニング,東京都昭島市美堀町５丁目１６番７号,飲食店営業(一般飲食店),新規,042-519-8429,2017/11/27,042-507-7715,丸鶴　信一
2399,加賀味,東京都昭島市松原町４丁目１１番１５号,,,,飲食店営業(一般飲食店),更新,042-543-4099,1999/6/23,,
2400,与論島居酒屋とーとうがなし,東京都昭島市松原町４丁目１１番１５号,１０９,,,飲食店営業(一般飲食店),新規,042-519-2199,2017/5/11,,
2401,ＢＩＧＯＲＡ,東京都昭島市松原町４丁目１２番２０号,3階及び4階,有限会社つばき,東京都昭島市美堀町５丁目２０番４‐1108,飲食店営業(一般飲食店),新規,042-542-7107,2017/9/13,042-541-2306,佐藤　博之
2402,インドレストラン　RAJ,東京都昭島市松原町４丁目１２番３号,,有限会社KUNWAR,東京都西東京市南町４丁目１番１５号,飲食店営業(一般飲食店),新規,042-519-8160,2017/3/10,042-463-5530,クンワールシブチャンダー
2403,居酒家　のんちゃん,東京都昭島市松原町４丁目１２番４号,三愛ビル地下Ａ号室,,,飲食店営業(一般飲食店),更新,042-543-4120,2011/5/18,,
2404,「心麺」,東京都昭島市松原町４丁目１２番４号,,,,飲食店営業(一般飲食店),新規,042-542-0687,2017/8/15,,
2405,やきとり　おおしば拝島本店,東京都昭島市松原町４丁目１２番５号,カネイシビル１Ｆ,株式会社オオシバ,東京都昭島市松原町４丁目１２番５号,飲食店営業(一般飲食店),更新,042-545-6922,2011/1/31,042-545-6922,大柴　吾郎
2406,ファミリーマート　拝島駅南口店,東京都昭島市松原町４丁目１４番６号,,株式会社角柳,東京都福生市大字熊川１４０３番地１,飲食店営業(一般飲食店),更新,042-500-1339,2011/11/25,042-551-3038,光田　和敏
2407,ファミリーマート　拝島駅南口店,東京都昭島市松原町４丁目１４番６号,,株式会社角柳,東京都福生市大字熊川１４０３番地１,乳類販売業(ショーケース売り),更新,042-500-1339,2011/11/25,042-551-3038,光田　和敏
2408,ファミリーマート　拝島駅南口店,東京都昭島市松原町４丁目１４番６号,,株式会社角柳,東京都福生市大字熊川１４０３番地１,食肉販売業(包装),更新,042-500-1339,2011/11/25,042-551-3038,光田　和敏
2409,ファミリーマート　拝島駅南口店,東京都昭島市松原町４丁目１４番６号,,株式会社角柳,東京都福生市大字熊川１４０３番地１,魚介類販売業(包装),更新,042-500-1339,2011/11/25,042-551-3038,光田　和敏
2410,ファミリーマート　拝島駅南口店,東京都昭島市松原町４丁目１４番６号,,株式会社角柳,東京都福生市大字熊川１４０３番地１,食料品等販売業(店舗),更新,042-500-1339,2011/11/25,042-551-3038,光田　和敏
2411,カフェ、ブルースノー,東京都昭島市松原町５丁目１５番２５号,,,,飲食店営業(一般飲食店),更新,042-546-9158,1998/12/22,,
2412,有限会社　きそばあづま家,東京都昭島市松原町５丁目１８番５号,,有限会社きそばあづま家,東京都昭島市松原町５丁目１８番５号,飲食店営業(そば屋),更新,042-545-1176,1999/3/30,042-545-1176,東  由雄
2413,メロディー,東京都昭島市松原町５丁目１番１９号,田中ビル１階,,,飲食店営業(一般飲食店),更新,042-544-3259,2011/9/1,,
2414,かつ膳,東京都昭島市松原町５丁目１番２０号,野村ビル１Ｆ,,,飲食店営業(一般飲食店),更新,042-541-2910,1989/12/2,,
2415,HORUMON　DAIHARU,東京都昭島市松原町５丁目１番２１号,,株式会社大柴,東京都昭島市松原町５丁目１番２１号,飲食店営業(一般飲食店),新規,042-519-4129,2017/3/24,042-519-4129,大柴　正春
2416,haijima　ＢＡＬ＆ＣＡＦＥ　ＡＩＲＥ,東京都昭島市松原町５丁目１番２５号,駅前ロータリービル２F,,,飲食店営業(一般飲食店),新規,,2017/2/13,,
2417,ＢＡＢＹ,東京都昭島市松原町５丁目２番１７号,エルファンドビル１Ｆ,株式会社オートブティック,東京都昭島市松原町５丁目２番１７号,飲食店営業(一般飲食店),新規,042-519-8448,2017/11/10,052-546-8222,豊田　正徳
2418,桃仙,東京都昭島市上川原町１丁目２番１３号,,,,飲食店営業(弁当屋),更新,042-543-1041,1979/9/14,,
2419,桃仙,東京都昭島市上川原町１丁目２番１３号,,,,菓子製造業(生菓子製造業),更新,042-543-1041,1979/9/14,,
2420,通所授産施設　食工房ゆいのもり,東京都昭島市上川原町１丁目９番１５号,,社会福祉法人　ゆいのもり福祉協会,東京都昭島市上川原町１丁目９番１５号,飲食店営業(弁当屋),更新,042-542-5160,2003/4/1,042-542-5160,浅川　勤
2421,通所授産施設　食工房ゆいのもり,東京都昭島市上川原町１丁目９番１５号,,社会福祉法人　ゆいのもり福祉協会,東京都昭島市上川原町１丁目９番１５号,菓子製造業(パン製造業),更新,042-542-5160,2003/4/1,042-542-5160,浅川　勤
2422,チャイナごはん　Ｂａｍｂｏｏ,東京都昭島市中神町１１２８番地１,,,,飲食店営業(一般飲食店),新規,,2017/5/30,,
2423,酒処　稲穂,東京都昭島市中神町１１３４番地３３,,,,飲食店営業(一般飲食店),更新,042-545-5444,2011/5/2,,
2424,かしわ,東京都昭島市中神町１１３６番地９４,,,,飲食店営業(一般飲食店),更新,042-544-8465,1999/10/25,,
2425,バルド,東京都昭島市中神町１１３７番地１１８,,,,飲食店営業(一般飲食店),新規,042-542-5010,2017/9/19,,
2426,エビス　レストハウスKARNA,東京都昭島市中神町１１３９番５３号,,,,飲食店営業(一般飲食店),更新,042-541-8284,2011/8/31,,
2427,しりせんぽ,東京都昭島市中神町１１４９番地１３,,,,飲食店営業(一般飲食店),更新,,2005/10/11,,
2428,満福苑,東京都昭島市中神町１１５７番地,,日中企画合同会社,東京都台東区台東4丁目31番7-２０３号,飲食店営業(一般飲食店),新規,,2017/9/12,,金澤　永浩
2429,あんだんて,東京都昭島市中神町１１５７番地３０,,特定非営利活動法人このもかのも,東京都昭島市中神町１１５７番地３０,飲食店営業(弁当屋),新規,042-519-2816,2017/7/10,042-519-2816,上田　秋男
2430,あんだんて,東京都昭島市中神町１１５７番地３０,,特定非営利活動法人このもかのも,東京都昭島市中神町１１５７番地３０,菓子製造業(その他の菓子製造業),新規,042-519-2816,2017/7/10,042-519-2816,上田　秋男
2431,ファミリーマート昭島中神町新畑店,東京都昭島市中神町１１５７番地５,,株式会社Ｆ・スタイル,山梨県中巨摩郡昭和町清水新居1505番地,飲食店営業(一般飲食店),新規,042-500-7891,2017/6/15,055-221-0062,深沢　邦夫
2432,ファミリーマート昭島中神町新畑店,東京都昭島市中神町１１５７番地５,,株式会社Ｆ・スタイル,山梨県中巨摩郡昭和町清水新居1505番地,菓子製造業(その他の菓子製造業),新規,042-500-7891,2017/6/15,055-221-0062,深沢　邦夫
2433,ファミリーマート昭島中神町新畑店,東京都昭島市中神町１１５７番地５,,株式会社Ｆ・スタイル,山梨県中巨摩郡昭和町清水新居1505番地,乳類販売業(ショーケース売り),新規,042-500-7891,2017/6/15,055-221-0062,深沢　邦夫
2434,ファミリーマート昭島中神町新畑店,東京都昭島市中神町１１５７番地５,,株式会社Ｆ・スタイル,山梨県中巨摩郡昭和町清水新居1505番地,食肉販売業(包装),新規,042-500-7891,2017/6/15,055-221-0062,深沢　邦夫
2435,ファミリーマート昭島中神町新畑店,東京都昭島市中神町１１５７番地５,,株式会社Ｆ・スタイル,山梨県中巨摩郡昭和町清水新居1505番地,魚介類販売業(包装),新規,042-500-7891,2017/6/15,055-221-0062,深沢　邦夫
2436,ファミリーマート昭島中神町新畑店,東京都昭島市中神町１１５７番地５,,株式会社Ｆ・スタイル,山梨県中巨摩郡昭和町清水新居1505番地,食料品等販売業(店舗),新規,042-500-7891,2017/6/15,055-221-0062,深沢　邦夫
2437,井上食堂,東京都昭島市中神町１１７１番２４号,ユーアイハイツ103号,,,飲食店営業(一般飲食店),新規,042-519-7374,2017/5/26,,
2438,魚民,東京都昭島市中神町１１８０番地４,中神駅北口TKビル 2階3階,株式会社モンテローザフーズ,東京都新宿区歌舞伎町１丁目２１番１号,飲食店営業(一般飲食店),更新,,2010/7/30,0422-36-8888,大神　輝博
2439,昭島病院内レストラン,東京都昭島市中神町１２６０番地,２Ｆ,エコーライフ株式会社,神奈川県横浜市栄区笠間二丁目１７番４号,飲食店営業(一般飲食店),新規,042-542-2088,2017/3/28,045-894-7481,諏訪　以江子
2440,生活彩家　昭島病院店,東京都昭島市中神町１２６０番地,,エコーライフ株式会社,神奈川県横浜市栄区笠間二丁目17番4号,乳類販売業(ショーケース売り),新規,,2017/4/17,045-894-7481,諏訪　以江子
2441,生活彩家　昭島病院店,東京都昭島市中神町１２６０番地,,エコーライフ株式会社,神奈川県横浜市栄区笠間二丁目17番4号,食料品等販売業(包装),新規,,2017/4/17,045-894-7481,諏訪　以江子
2442,株式会社　肉の三橋,東京都昭島市中神町１２６０番地,,株式会社　肉の三橋,東京都昭島市中神町１２６０番地,飲食店営業(そうざい店),更新,042-544-1129,1989/9/4,042-544-1129,三橋　冨士夫
2443,株式会社 肉の三橋,東京都昭島市中神町１２６０番地,,株式会社　肉の三橋,東京都昭島市中神町１２６０番地,食肉販売業(一般),更新,042-544-1129,1989/9/4,042-544-1129,三橋　冨士夫
2444,ファミリーマート　昭島中神町店,東京都昭島市中神町１２９４番地１,,有限会社松尾商店,東京都東村山市本町２丁目３番地７８,菓子製造業(パン製造業),新規,042-549-0851,2017/5/10,0423-92-8230,松尾　憲治
2445,ホテルパーク,東京都昭島市中神町１３１８番地５,,平田企画株式会社,東京都昭島市緑町２丁目１８番１５号,飲食店営業(旅館・ホテル),更新,042-546-7780,1994/11/1,042-541-4575,平田　幸男
2446,ファミリーマート　昭島東文化通り店,東京都昭島市中神町１３８８番３号,,株式会社柚木商事,東京都西多摩郡瑞穂町大字箱根ケ崎４６１番地３,菓子製造業(その他の菓子製造業),新規,,2017/4/24,,柚木　克也
2447,４８９２事業所,東京都昭島市中神町１丁目２１番２３号,昭島台幼稚園１F,一冨士フードサービス株式会社,大阪府大阪市北区梅田三丁目３番２０号,飲食店営業(集団給食),新規,,2017/3/10,06-6458-8801,山岡　直方
2448,株式会社　エコス築地店,東京都昭島市中神町１丁目２４番２３号,,株式会社エコス,東京都昭島市中神町１１６０番地１,飲食店営業(弁当屋),更新,042-546-7211,1991/10/15,042-546-3711,平　邦雄
2449,株式会社　エコス築地店,東京都昭島市中神町１丁目２４番２３号,,株式会社エコス,東京都昭島市中神町１１６０番地１,乳類販売業(ショーケース売り),更新,042-546-7211,1991/10/15,042-546-3711,平　邦雄
2450,株式会社　エコス築地店,東京都昭島市中神町１丁目２４番２３号,,株式会社エコス,東京都昭島市中神町１１６０番地１,食肉販売業(一般),更新,042-546-7211,1991/10/15,042-546-3711,平　邦雄
2451,株式会社　エコス築地店,東京都昭島市中神町１丁目２４番２３号,,株式会社エコス,東京都昭島市中神町１１６０番地１,食料品等販売業(店舗),更新,042-546-7211,1991/10/15,042-546-3711,平　邦雄
2452,ヤキトリ、西野、福徳,東京都昭島市中神町１丁目２４番２３号,（エコス築地店外）,,,飲食店営業(そうざい店),更新,,2011/3/4,,
2453,JA斎場昭島ホール,東京都昭島市中神町３丁目１番１号,,ハラダ製茶株式会社,静岡県島田市岸町194番地,飲食店営業(一般飲食店),新規,042-549-8411,2017/4/27,0547-35-1133,原田　宗一郎
2454,Ｂ－Ｂａｒ　１６４,東京都昭島市朝日町１丁目１１番２６号,２Ｆ,,,飲食店営業(一般飲食店),更新,042-546-6200,2011/6/27,,
2455,七七や,東京都昭島市朝日町１丁目１１番５号,山内ビル１Ｆ,,,飲食店営業(一般飲食店),更新,042-546-9341,2003/3/6,,
2456,乙ひめ,東京都昭島市朝日町１丁目１番１２号,,,,飲食店営業(一般飲食店),更新,042-546-5121,2011/3/29,,
2457,ジェリカ,東京都昭島市朝日町１丁目１番１３号,,,,飲食店営業(一般飲食店),更新,042-543-1675,2011/5/6,,
2458,スナックHonoka(ホノカ),東京都昭島市朝日町１丁目１番１３号,坂巻ビル２F,,,飲食店営業(一般飲食店),新規,042-545-5277,2017/9/27,,
2459,ニューデイズキオスク中神駅改札内店,東京都昭島市朝日町１丁目１番９号,JR中神駅構内,株式会社ＪＲ東日本リテールネット,東京都新宿区西新宿２丁目３番１号,乳類販売業(ショーケース売り),新規,042-500-4331,2017/1/27,03-5324-6861,高橋　眞
2460,ニューデイズキオスク中神駅改札内店,東京都昭島市朝日町１丁目１番９号,JR中神駅構内,株式会社ＪＲ東日本リテールネット,東京都新宿区西新宿２丁目３番１号,食料品等販売業(包装),新規,042-500-4331,2017/1/27,03-5324-6861,高橋　眞
2461,炭まる,東京都昭島市朝日町１丁目３番１４号,木下店舗２F南側,,,飲食店営業(一般飲食店),新規,,2017/7/3,,
2462,福紗,東京都昭島市朝日町１丁目４番１０号,,,,飲食店営業(一般飲食店),更新,042-545-3109,1999/8/30,,
2463,ＹＵＫＩＤＯＭＡＲＩ,東京都昭島市朝日町１丁目４番１号,中神平田ビル２－Ａ,株式会社ＳＯＯＮＲＹＥ,東京都昭島市朝日町１丁目４－１,飲食店営業(一般飲食店),新規,042-849-5850,2017/3/13,042-849-5850,姜　順禮
2464,松本　潤,東京都昭島市朝日町１丁目４番１号,平田ビル中神２F-B,,,飲食店営業(一般飲食店),新規,,2017/11/13,,
2465,これや中神店,東京都昭島市朝日町１丁目４番３号,ＳＫビル1階,株式会社ヨシックス,名古屋市東区徳川町502番地,飲食店営業(一般飲食店),新規,042-544-0980,2017/7/14,052-932-8441,吉岡　昌成
2466,にこにこ食堂,東京都昭島市朝日町１丁目５番１１号,,特定非営利活動法人　にこにこ,東京都昭島市玉川町３丁目１７番１３号,飲食店営業(一般飲食店),新規,042-541-0706,2017/4/18,,川﨑　正男
2467,Bar＆Food　TINO,東京都昭島市朝日町１丁目６番１３号,中野ビル２階,,,飲食店営業(一般飲食店),新規,,2017/3/22,,
2468,NO　NAME,東京都昭島市朝日町１丁目６番１３号,中野ビル２F,,,飲食店営業(一般飲食店),新規,,2017/4/21,,
2469,手打そば・日本料理　むら田,東京都昭島市朝日町１丁目８番１０号,井上ビル店舗1階,,,飲食店営業(一般飲食店),更新,042-545-2248,2010/12/21,,
2470,喫茶　ロンシャン,東京都昭島市朝日町１丁目８番１３号,,,,飲食店営業(一般飲食店),新規,042-544-6310,2017/11/1,,
2471,ウエルシア昭島朝日町店,東京都昭島市朝日町２丁目３番１９号,,ウエルシア薬局株式会社,東京都千代田区外神田二丁目２番１５号,乳類販売業(ショーケース売り),新規,,2017/4/17,03-5209-5672,水野　秀晴
2472,ウエルシア昭島朝日町店,東京都昭島市朝日町２丁目３番１９号,,ウエルシア薬局株式会社,東京都千代田区外神田二丁目２番１５号,食肉販売業(包装),新規,,2017/4/17,03-5209-5672,水野　秀晴
2473,ウエルシア昭島朝日町店,東京都昭島市朝日町２丁目３番１９号,,ウエルシア薬局株式会社,東京都千代田区外神田二丁目２番１５号,魚介類販売業(包装),新規,,2017/4/17,03-5209-5672,水野　秀晴
2474,ウエルシア昭島朝日町店,東京都昭島市朝日町２丁目３番１９号,,ウエルシア薬局株式会社,東京都千代田区外神田二丁目２番１５号,食料品等販売業(包装),新規,,2017/4/17,03-5209-5672,水野　秀晴
2475,伝説のステーキ屋　昭島店,東京都昭島市朝日町２丁目４番１０号,,株式会社アントワークス,東京都中野区中野３丁目３３番３号インツ中野ビル５階,飲食店営業(一般飲食店),新規,042-519-4987,2017/4/19,03-6304-8412,早川　秀人
2476,丸義鮮魚店,東京都昭島市朝日町３丁目１１番１９号,,丸義商事有限会社,東京都昭島市朝日町３丁目１１番１９号,乳類販売業(ショーケース売り),更新,042-541-2613,2005/5/13,042-541-2613,船木　竜太郎
2477,丸義鮮魚店,東京都昭島市朝日町３丁目１１番１９号,,丸義商事有限会社,東京都昭島市朝日町３丁目１１番１９号,魚介類販売業(一般),更新,042-541-2613,2005/5/13,042-541-2613,船木　竜太郎
2478,丸義鮮魚店,東京都昭島市朝日町３丁目１１番１９号,,丸義商事有限会社,東京都昭島市朝日町３丁目１１番１９号,食料品等販売業(店舗),更新,042-541-2613,2005/5/13,042-541-2613,船木　竜太郎
2479,スナック　K a z u,東京都昭島市朝日町３丁目１８番１１号,,,,飲食店営業(一般飲食店),更新,042-541-6363,2011/1/4,,
2480,オリジン弁当中神店,東京都昭島市朝日町３丁目１番２９号,ガーデンズウエスタン１階,オリジン東秀株式会社,東京都調布市調布ヶ丘１丁目１８番地１調布センタービル5階,そうざい製造業,新規,042-500-6397,2017/7/28,03-3305-0180,前原　正憲
2481,?源餃子,東京都昭島市朝日町一丁目１番１３号,,友和株式会社,東京都昭島市朝日町一丁目１番１３号,飲食店営業(一般飲食店),新規,,2017/11/2,,高橋　礼子
2482,有限会社恵比寿屋,東京都昭島市朝日町一丁目２番２３号,,有限会社恵比寿屋,東京都昭島市朝日町一丁目２番２３号,飲食店営業(一般飲食店),新規,042-541-0568,2017/9/19,042-541-0568,山本　総一郎
2483,ファミリーマート　昭島田中町店,東京都昭島市田中町１丁目２１番２号,,,,菓子製造業(生菓子製造業),新規,042-500-0631,2017/5/10,,
2484,介護老人保健施設アゼリア,東京都昭島市田中町２丁目１番３７号,,株式会社日本給食サポート,東京都杉並区阿佐谷南三丁目35番19号,飲食店営業(集団給食),新規,042-542-5040,2017/3/28,03-5335-7812,酒井　貢
2485,ファミリーマート昭島田中町団地入口店,東京都昭島市田中町２丁目２３番９号,,合資会社フランチャイズビジネスパートナーズ,東京都立川市西砂町１丁目２番地の５３,飲食店営業(一般飲食店),新規,042-500-5312,2017/6/26,042-520-8207,加藤　桂
2486,ファミリーマート昭島田中町団地入口店,東京都昭島市田中町２丁目２３番９号,,合資会社フランチャイズビジネスパートナーズ,東京都立川市西砂町１丁目２番地の５３,菓子製造業(パン製造業),新規,042-500-5312,2017/6/26,042-520-8207,加藤　桂
2487,ファミリーマート昭島田中町団地入口店,東京都昭島市田中町２丁目２３番９号,,合資会社フランチャイズビジネスパートナーズ,東京都立川市西砂町１丁目２番地の５３,乳類販売業(ショーケース売り),新規,042-500-5312,2017/6/26,042-520-8207,加藤　桂
2488,ファミリーマート昭島田中町団地入口店,東京都昭島市田中町２丁目２３番９号,,合資会社フランチャイズビジネスパートナーズ,東京都立川市西砂町１丁目２番地の５３,食肉販売業(包装),新規,042-500-5312,2017/6/26,042-520-8207,加藤　桂
2489,ファミリーマート昭島田中町団地入口店,東京都昭島市田中町２丁目２３番９号,,合資会社フランチャイズビジネスパートナーズ,東京都立川市西砂町１丁目２番地の５３,魚介類販売業(包装),新規,042-500-5312,2017/6/26,042-520-8207,加藤　桂
2490,ファミリーマート昭島田中町団地入口店,東京都昭島市田中町２丁目２３番９号,,合資会社フランチャイズビジネスパートナーズ,東京都立川市西砂町１丁目２番地の５３,食料品等販売業(店舗),新規,042-500-5312,2017/6/26,042-520-8207,加藤　桂
2491,居酒屋　より処,東京都昭島市田中町２丁目２４番６号,,,,飲食店営業(一般飲食店),更新,042-546-2022,2005/11/29,,
2492,?久好　モリタウン店,東京都昭島市田中町５６２番１号,モリタウン東館２階　フードコート内,株式会社アントワークス,東京都中野区中野３丁目３３番３号インツ中野ビル５階,飲食店営業(一般飲食店),新規,042-519-5743,2017/4/5,03-6304-8412,早川　秀人
2493,信州そば処　そじ坊,東京都昭島市田中町５６２番１号,モリタウンオープンモール棟１Ｆ,株式会社グルメ杵屋レストラン,大阪府大阪市住之江区北加賀屋三丁目４番７号,めん類製造業,新規,042-500-3876,2017/11/15,06-6683-1222,佐伯　崇司
2494,アンテンドゥ 昭島店,東京都昭島市田中町５６２番地１,モリタウン１F,株式会社アンテンドゥ,東京都練馬区北町5丁目11番14号,飲食店営業(一般飲食店),更新,042-500-0067,2011/3/30,03-3550-8141,井戸　大通
2495,アンテンドゥ 昭島店,東京都昭島市田中町５６２番地１,モリタウン１F,株式会社アンテンドゥ,東京都練馬区北町5丁目11番14号,菓子製造業(パン製造業),更新,042-500-0067,2011/3/30,03-3550-8141,井戸　大通
2496,アンテンドゥ 昭島店,東京都昭島市田中町５６２番地１,モリタウン１F,株式会社アンテンドゥ,東京都練馬区北町5丁目11番14号,アイスクリーム類製造業,更新,042-500-0067,2011/3/30,03-3550-8141,井戸　大通
2497,アンテンドゥ 昭島店,東京都昭島市田中町５６２番地１,モリタウン１F,株式会社アンテンドゥ,東京都練馬区北町5丁目11番14号,食料品等販売業(店舗),更新,042-500-0067,2011/3/30,03-3550-8141,井戸　大通
2498,株式会社イトーヨーカ堂昭島店　寿司作業室,東京都昭島市田中町５６２番地１,,株式会社イトーヨーカ堂,東京都千代田区二番町８番地８,飲食店営業(弁当屋),更新,042-546-1411,2003/4/22,03-6238-2911,三枝　富博
2499,株式会社イトーヨーカ堂昭島店　精肉売場,東京都昭島市田中町５６２番地１,,株式会社イトーヨーカ堂,東京都千代田区二番町８番地８,食肉販売業(一般),更新,042-546-1411,2003/4/1,03-6238-2911,三枝　富博
2500,株式会社イトーヨーカ堂昭島店　鮮魚売場,東京都昭島市田中町５６２番地１,,株式会社イトーヨーカ堂,東京都千代田区二番町８番地８,魚介類販売業(一般),更新,042-546-1411,2003/3/5,03-6238-2911,三枝　富博
2501,株式会社イトーヨーカ堂昭島店　惣菜売場インストアー,東京都昭島市田中町５６２番地１,,株式会社イトーヨーカ堂,東京都千代田区二番町８番地８,飲食店営業(そうざい店),更新,042-546-1411,2003/4/7,03-6238-2911,三枝　富博
2502,デリカ　さぼてん　昭島店,東京都昭島市田中町５６２番地１,イトーヨーカドーB1F,株式会社グリーンハウスフーズ,東京都新宿区西新宿３丁目２０番２号,飲食店営業(一般飲食店),更新,042-545-7991,2003/4/7,03-6276-2250,田沼千秋
2503,サブウェイ　モリタウン昭島店,東京都昭島市田中町５６２番地１,,株式会社ビーエーエス,東京都国立市富士見台２丁目８番地の９,飲食店営業(弁当屋),更新,042-519-6337,2010/11/26,042-580-2105,倉田　裕二
2504,食物販催事場,東京都昭島市田中町５６２番地１,,昭和の森綜合サービス株式会社,東京都昭島市田中町６００番地,乳類販売業(ショーケース売り),新規,042-546-0071,2017/5/12,042-546-0071,福家　洋一
2505,食物販催事場,東京都昭島市田中町５６２番地１,,昭和の森綜合サービス株式会社,東京都昭島市田中町６００番地,食料品等販売業(店舗),新規,042-546-0071,2017/5/12,042-546-0071,福家　洋一
2506,Ｌａｓ　Ｔａｐａｓ,東京都昭島市田中町５６２番地８,,アーバンリゾーツ昭和の森株式会社,東京都昭島市拝島町４０１７番地３,飲食店営業(一般飲食店),更新,042-545-7200,1991/11/12,042-542-7023,富永　宏　
2507,有限会社　治作庵,東京都昭島市東町１丁目１０番８号,,有限会社治作庵,東京都昭島市東町１丁目１０番８号,飲食店営業(そば屋),更新,042-541-2267,1989/2/27,042-541-2267,古屋　泉
2508,シャンテ オレンチ,東京都昭島市東町１丁目１６番３７号,,,,飲食店営業(一般飲食店),更新,042-524-3631,1999/3/18,,
2509,Ｕｎｗｉｎｄ　Ｃａｆｅ,東京都昭島市東町１丁目２番３号,オリエント昭島ビル２Ｆ,合同会社サンライツ,東京都立川市西砂町３丁目１５番地の２３,飲食店営業(一般飲食店),新規,042-519-4707,2017/5/29,042-531-6636,畦　達也
2510,桜月,東京都昭島市東町１丁目２番３号,オリエントビル１階,,,飲食店営業(一般飲食店),更新,042-519-2920,2011/8/19,,
2511,きっちん,東京都昭島市東町４丁目１２番１７号,,,,飲食店営業(仕出し屋),新規,042-519-4311,2017/11/28,,
2512,多摩保育園（社会福祉法人　多摩育児会）,東京都昭島市東町５丁目１番４０号,,日清医療食品株式会社,東京都千代田区丸の内２丁目７番３号,飲食店営業(集団給食),新規,042-544-1151,2017/3/22,03-3287-3611,菅井　正一
2513,セブンイレブン昭島東町５丁目店,東京都昭島市東町５丁目９番１２号,,有限会社ツボタ,東京都昭島市東町５丁目９番１２号,飲食店営業(一般飲食店),更新,042-543-5054,2003/7/3,042-543-5054,坪田　健佑
2514,セブンイレブン昭島東町５丁目店,東京都昭島市東町５丁目９番１２号,,有限会社ツボタ,東京都昭島市東町５丁目９番１２号,乳類販売業(ショーケース売り),更新,042-543-5054,2003/7/3,042-543-5054,坪田　健佑
2515,セブンイレブン昭島東町５丁目店,東京都昭島市東町５丁目９番１２号,,有限会社ツボタ,東京都昭島市東町５丁目９番１２号,食肉販売業(包装),更新,042-543-5054,2003/7/3,042-543-5054,坪田　健佑
2516,セブンイレブン昭島東町５丁目店,東京都昭島市東町５丁目９番１２号,,有限会社ツボタ,東京都昭島市東町５丁目９番１２号,魚介類販売業(包装),更新,042-543-5054,2003/7/3,042-543-5054,坪田　健佑
2517,セブンイレブン昭島東町５丁目店,東京都昭島市東町５丁目９番１２号,,有限会社ツボタ,東京都昭島市東町５丁目９番１２号,食料品等販売業(店舗),更新,042-543-5054,2003/7/3,042-543-5054,坪田　健佑
2518,お菓子工房　Home,東京都昭島市拝島町１丁目１６番１１号,,,,飲食店営業(一般飲食店),新規,042-545-0536,2017/7/12,,
2519,お菓子工房　Home,東京都昭島市拝島町１丁目１６番１１号,,,,菓子製造業(その他の菓子製造業),新規,042-545-0536,2017/7/12,,
2520,居酒屋 美良志,東京都昭島市拝島町２丁目１番２２号,,,,飲食店営業(一般飲食店),更新,042-545-0017,2011/4/27,,
2521,デリア食品株式会社東京支店,東京都昭島市拝島町３９２７番２０,,デリア食品株式会社,東京都調布市仙川町二丁目5番地7,食料品等販売業(包装),新規,042-519-7601,2017/8/10,03-5384-7700,柴﨑　健
2522,ファミリーマート昭島小荷田店,東京都昭島市拝島町３丁目２番２号,,,,菓子製造業(パン製造業),新規,,2017/5/10,,
2523,元木屋,東京都昭島市拝島町４丁目１５番３２号,,,,菓子製造業(生菓子製造業),更新,042-541-1147,1985/10/23,,
2524,元木屋,東京都昭島市拝島町４丁目１５番３２号,,,,乳類販売業(ショーケース売り),更新,042-541-1147,1985/10/23,,
2525,元木屋,東京都昭島市拝島町４丁目１５番３２号,,,,食料品等販売業(店舗),更新,042-541-1147,1985/10/23,,
2526,とまと,東京都昭島市拝島町４丁目２番１２号,,,,飲食店営業(一般飲食店),新規,042-543-7792,2017/10/2,,
2527,住宅型有料老人ホーム　エルバ昭島,東京都昭島市美堀町２丁目１番６号,,株式会社O・S・I,千葉県柏市根戸1864番地4カパルア1階A,飲食店営業(集団給食),新規,042-519-1982,2017/9/1,04-7133-8698,石川　学
2528,スプーン亭,東京都昭島市美堀町２丁目２９番３５号,,,,飲食店営業(一般飲食店),更新,042-541-5652,1999/4/23,,
2529,ファミリーマート昭島美堀町店,東京都昭島市美堀町４丁目１３番４１号,,有限会社島田屋酒店,東京都昭島市玉川町１丁目１番１３号,菓子製造業(パン製造業),新規,042-500-6561,2017/5/10,042-549-7973,島崎　幸雄
